Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCE19,OUT017,634.9512667
NCM53,OUT010,248.5946746
NCN18,OUT049,2004.585729
FDF32,OUT035,2034.035447
FDF11,OUT013,3394.537995
DRI59,OUT049,3871.478098
NCG54,OUT035,2897.5616
FDM44,OUT046,868.869
FDT57,OUT018,2515.301465
FDV24,OUT046,1564.361595
FDI50,OUT019,1222.144085
FDS09,OUT035,1470.0864
NCC31,OUT027,4357.771967
FDQ07,OUT019,749.7513755
FDC22,OUT017,3717.1614
FDZ56,OUT046,2085.2856
FDZ40,OUT019,139.818
FDS46,OUT027,2183.602067
DRD24,OUT045,804.7302667
FDV45,OUT017,2816.334
FDL26,OUT045,4206.5244
FDA56,OUT018,2117.808793
FDN27,OUT046,1182.889123
FDM20,OUT049,5231.639505
FDO16,OUT017,3079.325
FDL03,OUT035,2305.820816
FDE58,OUT046,1688.4688
FDI02,OUT027,3426.2068
NCC55,OUT019,41.2796
FDR03,OUT018,2832.272329
FDB14,OUT017,1734.409
FDR45,OUT013,5346.374
NCN07,OUT017,2768.3964
FDM51,OUT019,202.4032
FDT52,OUT027,6330.498228
FDL26,OUT046,2476.419869
NCZ42,OUT046,4009.77164
DRI47,OUT019,454.4085
FDW40,OUT013,2477.800814
FDN34,OUT046,3435.528
FDS01,OUT035,3616.526208
NCG55,OUT045,2650.2169
FDC11,OUT035,1562.772074
FDX35,OUT018,3593.331313
NCB06,OUT046,1584.604
FDR09,OUT019,255.6672
FDC53,OUT017,1952.7914
FDY45,OUT013,1540.6612
FDA22,OUT010,571.9749138
FDE02,OUT035,1429.27392
FDW21,OUT045,1508.037
FDV34,OUT046,964.6896503
FDS59,OUT049,2010.606797
NCW17,OUT017,3147.9024
NCK54,OUT046,1422.1488
FDG17,OUT019,583.2252893
FDG35,OUT017,3069.435615
FDD08,OUT010,90.2536777
NCO07,OUT017,3246.762337
FDJ10,OUT010,275.3807508
FDW36,OUT017,1522.022836
FDW21,OUT010,225.6514578
FDY19,OUT017,2686.503
DRE03,OUT013,163.7868
NCC55,OUT049,421.7615114
FDH52,OUT010,134.862611
FDO09,OUT017,6048.793
FDU43,OUT045,3714.867986
FDX09,OUT010,363.5268
FDH40,OUT019,253.6698
FDW58,OUT017,1649.899469
FDC47,OUT017,5486.8578
NCR41,OUT035,1059.052272
DRG49,OUT035,1502.59865
FDC52,OUT027,3936.8754
FDY13,OUT046,1918.950223
FDY35,OUT013,992.5939541
FDI35,OUT017,4217.793317
NCU18,OUT049,2583.325097
FDY33,OUT018,3129.26
FDC15,OUT027,3948.754525
FDU01,OUT049,4548.057087
NCU42,OUT046,3593.3226
NCV29,OUT018,2032.840623
NCY30,OUT017,2828.3184
FDQ46,OUT049,2234.0919
FDG58,OUT027,3919.8975
FDK33,OUT017,2560.6668
NCD07,OUT045,1224.4062
NCX29,OUT027,4312.7195
NCT42,OUT013,1995.129052
DRN59,OUT035,712.1555815
FDI44,OUT035,1669.471342
FDA45,OUT049,1937.493823
FDP31,OUT045,664.110478
FDY01,OUT046,2048.792236
FDT09,OUT018,1989.89972
DRH03,OUT027,2705.1454
FDA36,OUT018,2370.581485
NCF31,OUT017,1821.6288
FDG14,OUT049,4330.868545
FDG28,OUT027,8063.5038
FDU14,OUT049,2755.176427
FDY47,OUT019,769.7482082
FDI56,OUT049,1515.404634
DRD01,OUT013,1019.25961
FDM22,OUT046,877.9296596
FDH33,OUT013,717.8675256
DRZ24,OUT013,2810.419785
NCQ38,OUT046,1585.21975
FDO16,OUT027,2214.1179
FDU07,OUT027,4017.83668
NCB07,OUT013,2442.1544
FDU48,OUT045,1776.3544
NCM43,OUT045,2569.145114
FDR31,OUT010,434.9666941
DRK49,OUT018,497.8708391
NCI30,OUT010,564.319782
DRD60,OUT017,3210.559092
NCG19,OUT046,3787.907131
FDH12,OUT035,2137.955572
FDM32,OUT035,2816.334
FDM27,OUT035,2234.729327
NCU53,OUT027,4422.545471
NCQ18,OUT046,965.41
FDS10,OUT013,2189.156785
FDB33,OUT027,4334.52445
FDI12,OUT013,1204.164882
NCW42,OUT013,3112.162733
NCC06,OUT018,2429.5042
FDW02,OUT017,3511.484152
NCD43,OUT017,1950.997475
FDM57,OUT018,805.8271594
FDA58,OUT017,4926.92
FDK56,OUT046,2267.629041
FDP52,OUT045,4823.721
FDW20,OUT018,2210.1231
FDS52,OUT049,1458.102
NCT29,OUT018,1621.8888
NCL54,OUT013,3775.086
FDC05,OUT045,2270.7109
FDF34,OUT035,2440.187453
FDP03,OUT027,1003.510751
FDD32,OUT010,168.1950136
FDZ10,OUT045,747.0276
FDZ40,OUT035,919.5367757
FDD51,OUT018,386.7726729
NCY30,OUT019,418.1224
FDP58,OUT017,2847.6266
FDV49,OUT017,3844.922955
FDY24,OUT019,166.8307183
NCO55,OUT017,1972.0996
FDR13,OUT017,1243.823583
FDS51,OUT017,611.1891743
FDP26,OUT045,1954.97522
NCB54,OUT027,3136.18432
FDF32,OUT017,3559.3668
FDN31,OUT018,3630.6074
DRM48,OUT017,1005.579933
FDN20,OUT049,3264.279271
DRL01,OUT046,3721.616235
FDV56,OUT049,1565.9616
DRH13,OUT027,2815.446267
FDA03,OUT017,2423.512
FDF47,OUT027,6040.366878
FDX32,OUT046,2040.622792
FDX57,OUT049,1377.391095
NCA30,OUT045,2668.304467
FDO49,OUT013,839.0325235
FDL04,OUT019,108.5254
DRM48,OUT035,735.709
FDR16,OUT013,4955.601629
NCC19,OUT018,3532.726776
NCE42,OUT045,3399.415509
FDY24,OUT017,910.5577257
FDH19,OUT049,4925.5884
FDJ46,OUT013,2931.5174
FDN45,OUT010,510.4477319
FDY08,OUT035,1465.998319
FDZ37,OUT035,1147.51341
NCT30,OUT045,760.0107
DRY23,OUT018,497.0181119
NCZ30,OUT018,1347.735265
FDC44,OUT018,545.956
FDB45,OUT035,1782.312022
FDY04,OUT013,1676.25225
FDM27,OUT046,2087.206004
FDZ43,OUT017,5528.1374
FDT39,OUT019,572.4184246
NCC06,OUT019,284.2966
FDL15,OUT027,258.2066989
FDL57,OUT017,4908.2776
FDU08,OUT046,828.7640094
FDK40,OUT017,3681.874
FDQ12,OUT010,345.4430166
FDS48,OUT017,1837.026432
FDP09,OUT045,4119.329715
FDW21,OUT049,820.2656
FDY25,OUT035,3616.526208
DRE13,OUT017,1257.86265
FDV43,OUT019,148.7426742
FDD22,OUT045,1403.33995
FDM46,OUT019,89.883
NCO30,OUT010,490.3234011
FDM25,OUT046,2753.276407
NCN41,OUT049,2055.406414
FDU24,OUT045,2759.0752
FDZ50,OUT046,3307.6944
FDP45,OUT013,2917.784137
NCM54,OUT045,2516.724
FDW10,OUT019,185.7582
FDP20,OUT017,632.51
FDK32,OUT046,2040.622792
FDN52,OUT049,1183.7924
FDM58,OUT045,2013.3792
FDZ46,OUT027,3219.8088
NCA18,OUT018,1382.137822
FDD35,OUT046,1971.790882
NCK31,OUT035,831.1376726
FDI40,OUT027,497.2452148
FDT50,OUT019,240.8969089
NCT06,OUT046,2525.27142
FDT31,OUT035,3276.908226
FDT45,OUT049,832.6277561
FDT13,OUT045,3956.8494
FDO50,OUT045,1478.297933
NCU18,OUT010,373.3063364
NCR54,OUT049,2907.495124
NCO18,OUT018,2293.681
FDU09,OUT045,1304.700377
FDT13,OUT018,2628.683721
FDE09,OUT046,961.7926843
NCK53,OUT019,103.199
FDG45,OUT049,4573.144872
DRH15,OUT035,701.684165
FDO21,OUT019,968.5738587
FDD14,OUT027,5424.40576
FDC09,OUT046,1537.998
FDH45,OUT027,209.7224716
FDV32,OUT046,1164.323035
FDG12,OUT035,2425.299183
FDS32,OUT013,1530.000484
NCL55,OUT018,3703.272207
DRE01,OUT035,5243.8408
DRE15,OUT049,601.8832
NCL42,OUT045,5285.1204
FDP31,OUT013,741.0245426
FDN33,OUT018,974.0654
FDZ59,OUT046,4275.921693
FDE45,OUT010,475.048886
FDJ07,OUT013,1432.694231
FDQ45,OUT018,2017.308807
FDM33,OUT027,3616.2927
FDO15,OUT010,191.517855
FDM46,OUT013,1375.386462
FDR03,OUT045,3216.785128
FDY49,OUT018,1208.436194
FDQ60,OUT045,2590.9607
FDW10,OUT049,1937.493823
FDO51,OUT049,619.3099012
FDJ40,OUT018,1997.817901
FDS20,OUT018,2670.25417
FDU45,OUT013,2125.2336
FDV02,OUT035,2869.714042
FDN09,OUT046,3042.972999
NCM55,OUT027,642.6978967
FDN23,OUT018,3053.981389
FDY31,OUT010,351.0018697
FDW03,OUT010,325.2446993
FDD14,OUT046,716.4008
FDV23,OUT017,905.542308
DRI03,OUT045,976.0628
FDN13,OUT035,1348.877262
FDF45,OUT027,2115.64608
FDU46,OUT035,1722.572839
FDB57,OUT049,3591.137274
FDV12,OUT049,777.6544
FDQ58,OUT013,2286.650165
NCA18,OUT017,1224.4062
FDH52,OUT049,933.265615
FDM24,OUT018,2108.520158
NCP43,OUT027,2756.412
NCO18,OUT019,418.1224
FDM32,OUT017,1314.2892
NCL07,OUT017,319.584
FDK03,OUT013,2546.570137
FDP59,OUT017,1510.851337
FDQ24,OUT049,5215.750574
FDQ16,OUT018,1667.829
FDU44,OUT013,2137.8838
FDH28,OUT010,73.33542901
FDV28,OUT019,70.5748
FDM22,OUT045,897.1655
FDR56,OUT046,3773.00841
FDV39,OUT049,3370.72316
FDU37,OUT019,399.48
FDQ11,OUT010,546.4249056
FDX02,OUT045,2921.1975
NCS42,OUT018,1428.141
FDY57,OUT027,2412.8592
FDB21,OUT049,3967.99165
FDE28,OUT017,3111.634302
FDQ55,OUT017,1844.9318
FDA48,OUT049,4654.500976
FDZ19,OUT045,1830.95
NCC43,OUT045,4177.5621
NCV18,OUT046,601.2174
NCA42,OUT018,2603.278
FDY45,OUT046,3034.652913
NCC30,OUT045,3969.4996
FDM57,OUT013,1503.100919
FDL09,OUT010,339.3317309
FDB09,OUT027,4106.38808
FDT44,OUT035,1378.356036
NCT06,OUT027,3628.229543
FDX26,OUT049,2906.74249
FDK32,OUT013,2059.571054
DRA12,OUT046,2142.364235
FDO46,OUT010,483.8619125
FDE52,OUT013,1495.511123
NCH42,OUT045,6201.927
FDV08,OUT035,753.0198
FDB47,OUT018,2103.799704
FDC28,OUT010,230.7441959
FDD22,OUT046,1541.327
FDS07,OUT027,4106.38808
DRI13,OUT045,5426.27
FDG32,OUT018,2400.548753
FDU14,OUT017,4993.5
FDD28,OUT019,122.5072
NCP41,OUT017,1506.0396
FDS08,OUT049,2794.205853
FDX47,OUT045,1571.288
FDC53,OUT019,195.4123
FDQ19,OUT035,2438.698626
FDL14,OUT045,2832.846258
FDM33,OUT019,219.0482
FDA51,OUT045,1537.830826
FDZ27,OUT018,574.1290102
FDT04,OUT046,419.454
DRC13,OUT049,1238.388
FDR16,OUT027,5539.185949
FDQ03,OUT027,1204.212901
FDE38,OUT035,3004.979788
DRH23,OUT027,2597.2858
FDT11,OUT019,556.5871659
FDD09,OUT035,2970.788853
FDR40,OUT045,1099.2358
FDX07,OUT017,2563.33
FDR07,OUT035,319.3533914
FDA51,OUT017,1537.830826
FDT59,OUT019,503.1930257
FDF20,OUT017,1379.5376
FDR13,OUT045,1832.340292
FDY26,OUT049,1929.4884
FDW04,OUT017,1428.141
FDK52,OUT017,6771.186
FDN60,OUT049,3309.580643
FDM09,OUT019,454.9633333
FDP46,OUT049,1326.6065
FDB50,OUT019,503.3448
NCQ29,OUT049,2242.131216
FDP16,OUT027,6431.406067
FDX33,OUT018,2309.759416
FDP07,OUT010,305.5642875
FDN22,OUT046,3482.26891
FDF39,OUT049,5875.021734
FDS21,OUT017,579.021323
NCM42,OUT013,1506.749903
FDK50,OUT019,750.2707738
DRF13,OUT027,4250.96655
FDH35,OUT018,2056.08759
FDP60,OUT018,1388.727077
DRJ49,OUT027,3361.334966
NCT42,OUT019,303.6048
FDE38,OUT049,2893.487401
FDI04,OUT049,4138.6128
NCH54,OUT045,2237.088
FDT56,OUT049,495.3552
DRD15,OUT018,2586.301152
FDV58,OUT013,1650.463754
FDP21,OUT049,3867.819707
FDH05,OUT013,3809.539808
FDR10,OUT027,3166.71125
NCP06,OUT045,1626.5494
FDF33,OUT049,1974.05031
DRK37,OUT013,3244.262989
DRH49,OUT045,714.8411395
FDT58,OUT013,1839.088183
FDD41,OUT018,1960.781
FDP40,OUT018,1611.654319
FDM51,OUT027,2611.6005
FDO45,OUT010,180.4797338
FDW33,OUT010,420.7856
FDY24,OUT045,910.5577257
FDB10,OUT010,672.8629193
FDM40,OUT035,2237.088
NCI06,OUT017,4267.778
FDW12,OUT019,664.8297615
FDX48,OUT027,1813.6392
NCW05,OUT027,3540.280533
FDX27,OUT017,1638.126981
DRM37,OUT045,7685.9952
FDA38,OUT045,2497.33211
FDR36,OUT046,639.51102
FDZ45,OUT046,3351.607471
FDG05,OUT017,2659.871
FDK28,OUT013,6018.1662
FDV47,OUT045,1938.1438
FDN21,OUT045,2599.2832
FDP20,OUT027,5379.3311
FDI35,OUT045,4217.793317
DRY23,OUT013,572.6098738
FDA56,OUT017,1340.2554
FDB09,OUT013,683.1108
NCO26,OUT027,2702.957771
FDQ49,OUT018,1240.514977
FDI52,OUT027,1968.326733
FDZ44,OUT027,4106.38808
FDZ09,OUT018,1611.236
FDY03,OUT049,1372.899187
NCG42,OUT017,2048.6666
DRI13,OUT027,5688.413019
FDQ32,OUT013,2088.341893
FDW16,OUT035,1883.366155
FDU27,OUT046,625.744638
FDR28,OUT010,382.193596
FDQ49,OUT010,210.960203
FDS37,OUT046,1960.1152
FDW26,OUT018,2673.734689
FDX12,OUT018,3252.240452
NCP06,OUT013,3836.0067
FDW45,OUT010,374.5953458
NCN30,OUT049,1464.435485
FDN24,OUT049,1087.376296
NCL41,OUT027,58.63208882
FDR02,OUT019,209.0612
FDD09,OUT010,413.3692096
FDS33,OUT010,218.1677223
FDU22,OUT045,1727.35152
FDI53,OUT013,1257.0304
DRH01,OUT049,2958.71548
FDX32,OUT013,2702.880002
NCP30,OUT018,730.7155
FDB60,OUT045,3693.8584
FDB14,OUT049,1211.756
NCP02,OUT035,873.5296
FDJ10,OUT017,3231.1274
FDG34,OUT046,1359.95168
NCB18,OUT017,1680.1463
FDM16,OUT049,1498.457579
FDW25,OUT018,982.7208
FDB35,OUT010,248.718972
DRN11,OUT013,2702.587615
FDF41,OUT019,743.0328
FDH16,OUT045,2067.309
NCQ50,OUT018,2500.7448
DRH23,OUT018,985.8134978
DRJ37,OUT013,2879.890836
DRJ24,OUT027,307.8184663
FDY16,OUT035,3436.708991
FDQ27,OUT045,2172.194688
FDZ33,OUT045,1330.2684
FDF29,OUT045,1761.7068
FDA08,OUT049,5198.5664
FDG31,OUT046,269.7654662
FDE34,OUT019,185.7582
NCR30,OUT027,505.137996
FDV33,OUT035,3610.405474
DRZ24,OUT018,2439.408748
NCL54,OUT035,2897.5616
FDR12,OUT049,3448.844
NCC54,OUT046,4126.248632
DRN59,OUT013,671.3195825
FDX50,OUT019,209.0612
FDV31,OUT027,5064.7406
NCA29,OUT027,4494.889778
FDW60,OUT049,4218.331908
FDX08,OUT017,1263.0226
DRD49,OUT013,4104.967206
FDD33,OUT046,3558.864689
FDW35,OUT013,550.1545847
FDJ36,OUT017,2050.664
FDV51,OUT035,1946.269095
FDW36,OUT046,1271.304523
FDH35,OUT046,944.5267675
NCS30,OUT027,3903.85172
FDN49,OUT017,415.0690487
FDL08,OUT018,3185.1872
FDI09,OUT013,4231.418553
FDP19,OUT018,1890.617916
FDU21,OUT010,72.63625649
NCP41,OUT045,1506.0396
FDY10,OUT013,2293.246406
FDP12,OUT018,446.7518
NCN26,OUT049,1626.535611
FDK44,OUT013,1516.0266
FDC28,OUT049,1596.777805
FDJ41,OUT027,5066.738
NCT29,OUT035,2432.8332
NCH42,OUT019,1148.505
FDU60,OUT018,2639.06872
FDS02,OUT045,4096.6674
FDC51,OUT046,1917.504
FDU03,OUT013,2499.554376
FDX39,OUT045,3563.540729
NCY05,OUT010,131.7551775
NCL06,OUT027,6183.2846
FDD32,OUT035,1208.778641
NCN41,OUT045,1983.684162
NCX53,OUT049,2213.817859
FDU57,OUT019,611.5914407
FDQ23,OUT046,2396.88
FDQ52,OUT045,4470.1812
FDC14,OUT045,209.727
FDY09,OUT035,3104.525865
FDQ28,OUT045,1794.331
FDV25,OUT046,5539.925862
FDJ07,OUT035,1519.844229
DRB25,OUT049,1546.411089
FDK52,OUT019,669.0888271
FDY52,OUT027,1371.81432
FDB28,OUT046,2064.957305
FDT36,OUT035,611.5356901
FDV25,OUT017,5305.0944
NCN07,OUT027,3202.498
FDC57,OUT017,2888.2404
FDQ03,OUT018,2168.363332
FDU23,OUT017,1887.180608
NCX41,OUT035,2840.681916
NCD06,OUT035,781.1024509
FDW08,OUT045,2330.743867
NCU29,OUT017,3652.607629
NCE06,OUT013,2653.5459
FDV52,OUT010,319.0091162
FDB02,OUT017,2999.429
NCR18,OUT045,639.168
FDK16,OUT049,808.947
NCQ29,OUT010,324.0017259
FDZ01,OUT019,203.7348
FDW27,OUT035,2543.909067
FDD17,OUT018,3168.490464
FDW39,OUT013,2940.1728
DRH59,OUT045,659.4985997
FDS52,OUT013,636.5048
FDU40,OUT027,5154.046976
NCF54,OUT013,2320.9788
FDH46,OUT045,1508.037
NCP14,OUT049,1237.7222
FDH50,OUT049,3017.988898
DRF15,OUT010,119.1182816
FDV27,OUT027,299.9256851
NCJ06,OUT049,1120.5414
FDN02,OUT018,3182.377734
FDQ51,OUT049,996.0368
FDQ07,OUT017,6410.3224
FDS45,OUT049,2222.419385
NCJ06,OUT045,1811.6418
FDD36,OUT035,1413.393098
FDY25,OUT045,4179.004667
FDU52,OUT046,3103.9596
DRK47,OUT017,2433.8319
NCL30,OUT017,2516.724
FDN22,OUT035,3728.395014
NCF30,OUT027,3903.85172
FDK03,OUT035,6113.868074
FDT45,OUT017,907.6176533
NCC54,OUT027,5688.5952
FDP08,OUT018,3544.908593
FDU44,OUT046,1315.6208
DRG39,OUT035,1013.146773
FDU32,OUT049,703.0848
FDY27,OUT049,2587.9646
NCP54,OUT013,1488.7288
NCZ41,OUT049,1785.533523
DRL49,OUT013,2978.1234
FDI05,OUT018,1279.0018
FDY56,OUT045,7222.5984
DRC13,OUT013,1609.9044
NCV29,OUT017,2308.821584
FDR24,OUT049,1403.123995
FDZ34,OUT018,4415.90847
FDP37,OUT035,2693.846353
FDX08,OUT027,5064.7406
FDS57,OUT045,2695.8242
NCG18,OUT049,1506.581243
FDK25,OUT018,3659.874485
FDH53,OUT049,2432.8332
DRI59,OUT018,4297.74485
FDA52,OUT046,2579.458452
FDT20,OUT010,112.9448472
FDE36,OUT019,795.4584216
FDI24,OUT017,2587.438821
FDB28,OUT018,1808.999746
FDV11,OUT017,2183.263196
FDP01,OUT046,1379.882805
FDD34,OUT027,3166.71125
FDJ50,OUT027,2157.192
FDZ44,OUT013,1583.9382
DRO59,OUT035,1527.536502
DRB48,OUT045,549.9508
FDR21,OUT018,1900.160339
NCE42,OUT010,399.9266828
FDO23,OUT046,1741.258611
NCE30,OUT018,2137.2997
FDQ22,OUT035,597.5159026
FDY01,OUT045,1743.0644
FDS08,OUT017,1230.3984
FDG28,OUT018,3675.216
FDQ51,OUT018,552.2713509
FDB05,OUT017,3602.799343
FDO56,OUT049,2780.3808
FDE02,OUT018,1185.7898
FDN45,OUT017,1789.6704
FDS09,OUT013,884.8787388
NCA54,OUT018,1841.822973
FDP09,OUT010,616.7910094
FDC53,OUT045,1952.7914
NCM55,OUT017,3461.675867
FDL09,OUT018,1995.381538
FDA11,OUT019,359.36555
FDA50,OUT045,1737.738
FDC23,OUT017,3324.70308
FDE22,OUT049,2236.396866
FDD23,OUT046,3451.561072
NCA29,OUT049,4211.185
FDK38,OUT046,1938.070198
DRC13,OUT046,1935.338773
NCP43,OUT049,2854.631576
FDX28,OUT049,1869.040009
FDF08,OUT049,1340.404532
FDZ33,OUT046,1800.754014
FDD10,OUT049,1728.906808
FDO58,OUT017,1444.1202
FDI50,OUT017,2748.4224
FDO58,OUT045,2456.516987
FDX08,OUT013,4656.6052
NCK17,OUT010,37.9506
FDF39,OUT035,6101.399148
FDU45,OUT010,223.7088
NCJ18,OUT018,1398.18
DRC27,OUT019,1303.637671
DRC25,OUT035,1705.1138
FDU59,OUT035,2785.099041
FDU28,OUT035,2738.697266
NCP30,OUT046,442.4241
FDB39,OUT018,711.9053545
FDE41,OUT013,1336.791433
DRH11,OUT010,64.47924373
FDA58,OUT045,4926.92
FDU50,OUT046,1614.421166
FDM34,OUT013,1428.483864
FDM44,OUT027,2648.71885
FDR39,OUT045,4013.4424
FDM25,OUT045,2636.568
FDQ49,OUT049,1459.870176
DRH25,OUT018,579.6108276
FDM09,OUT027,3474.27756
FDL44,OUT019,401.8103
NCR42,OUT018,101.5151372
DRL59,OUT046,665.1433745
FDX43,OUT013,1789.405856
DRK47,OUT010,443.6971023
FDU48,OUT018,1010.847131
FDY12,OUT045,683.1108
NCN43,OUT018,1662.056585
NCM55,OUT018,338.6544978
FDQ21,OUT027,3100.038778
FDX13,OUT035,4245.762397
NCK30,OUT027,5977.5524
FDG20,OUT049,4165.2448
DRG27,OUT017,609.207
FDY14,OUT018,4745.8224
FDP59,OUT035,1625.799084
FDU60,OUT017,6426.3016
NCC18,OUT019,165.7842
DRJ39,OUT017,8323.8316
FDS07,OUT049,1671.276581
FDM08,OUT027,4805.4115
FDP51,OUT045,2216.46872
FDU16,OUT035,908.1512
FDH12,OUT013,2015.362203
DRE48,OUT010,403.6901299
NCL42,OUT027,2607.2728
FDR21,OUT045,3125.5981
NCW29,OUT035,1887.088222
FDO11,OUT013,4898.995587
NCM31,OUT049,2366.494952
FDV35,OUT019,887.132213
FDF58,OUT017,887.2100917
NCE43,OUT049,3617.9572
FDA02,OUT035,2099.990483
DRL37,OUT010,123.4801974
FDR24,OUT018,1192.295287
